Place of interest,Tipo_Centro,Place address,BiciMAD station,Station location
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pirámides,Calle Toledo nº 181
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de la Esperanza,Paseo de la Esperanza nº 21
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Embajadores-Cáceres,Calle Embajadores nº 101
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Delicias,Calle Bustamante nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puente Praga,Paseo de la Esperanza nº 59
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Madrid Río-Yeserías,Paseo de Yeserías nº 45
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Jaime el Conquistador,Calle Jaime el Conquistador nº 30
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Beata,Calle Alicante nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Legazpi,Calle Bolívar nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Junta Municipal Retiro,Calle León Gil de Palacio nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puente de Vallecas,Avenida de la Albufera nº 6
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Méndez Álvaro,Calle Retama nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Retiro-Ibiza,Calle Ibiza nº 18
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marqués de Zafra,Paseo Marqués de Zafra nº 24
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,General Pardiñas,Calle General Pardiñas nº 56
